,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
92,116,2021,116_12,0,0,0,1083.749236,79.5,99,118,121
93,116,2020,116_13,0,0,0,1096.195927,77.17391304,78,113,140
94,116,2021,116_13,0,0,0,1096.195927,77.17391304,99,118,121
95,116,2020,116_2,0,0,0,829.7545781,84.56521739,78,113,140
96,116,2021,116_2,0,0,0,829.7545781,84.56521739,99,118,121
97,116,2020,116_3,0,0,0,808.4279577,85,78,113,140
98,116,2021,116_3,0,0,0,808.4279577,85,99,118,121
99,116,2020,116_4,0,0,0,768.2581493,85,78,113,140
100,116,2021,116_4,0,0,0,768.2581493,85,99,118,121
101,116,2020,116_5,0,0,0,710.2486777,84.8540146,78,113,140
102,116,2021,116_5,0,0,0,710.2486777,84.8540146,99,118,121
103,116,2020,116_6,0,0,0,656.9073368,84.64028777,78,113,140
104,116,2021,116_6,0,0,0,656.9073368,84.64028777,99,118,121
105,116,2020,116_7,0,0,0,775.4444953,84.85611511,78,113,140
106,116,2021,116_7,0,0,0,775.4444953,84.85611511,99,118,121
107,116,2020,116_8,0,0,0,808.1133228,84.7826087,78,113,140
108,116,2021,116_8,0,0,0,808.1133228,84.7826087,99,118,121
109,116,2020,116_9,0,0,0,824.2192324,84.92647059,78,113,140
110,116,2021,116_9,0,0,0,824.2192324,84.92647059,99,118,121
111,118,2020,118_1,0,0,0,584.802304,57.33576642,76,99,122
112,118,2021,118_1,0,0,0,584.802304,57.33576642,66,95,112
113,118,2020,118_10,0,0,0,703.4145784,83.61313869,76,99,122
114,118,2021,118_10,0,0,0,703.4145784,83.61313869,66,95,112
115,118,2020,118_2,0,0,0,591.6353942,74.34306569,76,99,122
116,118,2021,118_2,0,0,0,591.6353942,74.34306569,66,95,112
117,118,2020,118_3,0,0,0,615.0633346,55.11111111,76,99,122
118,118,2021,118_3,0,0,0,615.0633346,55.11111111,66,95,112
119,118,2020,118_4,0,0,0,623.8905115,65.80882353,76,99,122
120,118,2021,118_4,0,0,0,623.8905115,65.80882353,66,95,112
121,118,2020,118_5,0,0,0,585.3977621,74.26470588,76,99,122
122,118,2021,118_5,0,0,0,585.3977621,74.26470588,66,95,112
123,118,2020,118_6,0,0,0,578.4976998,71.93430657,76,99,122
124,118,2021,118_6,0,0,0,578.4976998,71.93430657,66,95,112
125,118,2020,118_7,0,0,0,685.9494894,79.88970588,76,99,122
126,118,2021,118_7,0,0,0,685.9494894,79.88970588,66,95,112
127,118,2020,118_8,0,0,0,721.5320934,81.12318841,76,99,122
128,118,2021,118_8,0,0,0,721.5320934,81.12318841,66,95,112
129,118,2020,118_9,0,1,0,689.3632505,72.62589928,76,99,122
130,118,2021,118_9,0,0,0,689.3632505,72.62589928,66,95,112
131,122,2020,122_1,0,0,0,1061.41573,72.24637681,61,90,112
132,122,2021,122_1,0,0,0,1061.41573,72.24637681,70,91,115
133,122,2020,122_10,0,0,0,789.9091882,75.87591241,61,90,112
134,122,2021,122_10,0,0,0,789.9091882,75.87591241,70,91,115
135,122,2020,122_11,0,0,0,722.3464014,46.43382353,61,90,112
136,122,2021,122_11,0,0,0,722.3464014,46.43382353,70,91,115
137,122,2020,122_2,0,0,0,1106.732816,59.49275362,61,90,112
138,122,2021,122_2,0,0,0,1106.732816,59.49275362,70,91,115
139,122,2020,122_3,0,0,0,1154.738845,50.62043796,61,90,112
